,text_lower
1795,"b""@mackenziesmithr 2/2 i'd first check that your bank aren't declining it and if they're not then check this link for\xe2\x80\xa6 https://t.co/zorttvydys"""
1796,"b""@mackenziesmithr hi there, as we're dealing with a large amount of calls and have both customers and colleagues hav\xe2\x80\xa6 https://t.co/zmfjgngv1d"""
1797,"b""@sticklebrick73 hi randy i'm really sorry about this we are working as hard as we can to deal with the amount of qu\xe2\x80\xa6 https://t.co/8rhvtdd6rk"""
1798,"b""@haveasalad i'm really sorry about this we are working as hard as we can to deal with the amount of queries that we\xe2\x80\xa6 https://t.co/fkutln6hqq"""
1799,b'@duncphoto @warrenaaronwebs hi duncan. i think that nikki must have listened to what you said and it appear that we\xe2\x80\xa6 https://t.co/n5rn2qmbyi'
1800,"b""@lorrain09287461 hi lorraine, our offers tend to run to the end of each month so i'm confused as to why you've had\xe2\x80\xa6 https://t.co/1fsk33blff"""
1801,"b""@guestlandlord hi richard, it may be that you're not able to query that specific transaction. you can download a fo\xe2\x80\xa6 https://t.co/mwxjp7i9ux"""
1802,"b""@tanyakgx hey tanya. as we totally stretched across all of our channels we have no capacity to offer callbacks i'm\xe2\x80\xa6 https://t.co/spkceaivvx"""
1803,"b""@london_rover hi there, if you're not sorted please dm me and i'll see if i can advise further. thanks nikki https://t.co/mpqb4etryv"""
1804,"b""@merkmoore95 hey mark, thanks for your patience while we\xe2\x80\x99ve been so busy, we're doing our best to operate as best w\xe2\x80\xa6 https://t.co/lehencqskp"""
1805,"b""@gordonjack7 i've just replied gordon. thanks nikki"""
1806,b'@amangil55213229 2/2 line in the queue https://t.co/o2v1fofjwv thanks. - dan'
1807,"b""@amangil55213229 i'm sorry about this, we are working as hard as we can to help as many customers as possible with\xe2\x80\xa6 https://t.co/udpcbrilno"""
1808,b'@spennooooo hey callum sorry for the delay in my reply. our telephone lines are extremely busy at the moment due to\xe2\x80\xa6 https://t.co/crrxt0bum9'
1809,"b'@romihanduja hi rajesh, so sorry to hear that. please ask your daughter to reach out to the team who arranged her i\xe2\x80\xa6 https://t.co/iuzobvfagy'"
1810,"b'@friely47 hi alex, it would depend what the query was in relation to as different teams need engaging to help with\xe2\x80\xa6 https://t.co/8s1m29g9kd'"
1811,"b""@tanyakgx hi tanya. i'm really sorry about this we are working as hard as we can to deal with the amount of queries\xe2\x80\xa6 https://t.co/moqucdrpno"""
1812,b'@ashelle66 depending on what you would need help with we might need to speak to you securely; did you manage to con\xe2\x80\xa6 https://t.co/dhfrnhtva8'
1813,"b'@ashelle66 hello ashleigh, i can certainly understand your frustration with this, and due to our staff being impact\xe2\x80\xa6 https://t.co/revzmgpuro'"
1814,"b""@abrahams_fiona hey fiona, i'm so sorry for the delay; we\xe2\x80\x99ve been so busy and we're doing our best to operate as be\xe2\x80\xa6 https://t.co/yiwbrlszlv"""
1815,"b'@shaywardza hi there, you can find all of the information that you need regarding making a chargeback via this link\xe2\x80\xa6 https://t.co/nq7wznofzw'"
1816,b'@chellemacgill i can certainly appreciate having to wait for this long is frustrating; did you manage to get this resolved at all? ramona'
1817,"b""@wdy_t 2/2 i'll get that raised as totally agree it's confusing! thanks nikki"""
1818,"b'@wdy_t hi tom, sorry for the delay in replying. customers must write their 16 digit card number and postcode on the\xe2\x80\xa6 https://t.co/wztgy4godf'"
1819,"b""@buggytunes hey there so sorry for the delay in my reply and for the time you've spent calling us. have you managed\xe2\x80\xa6 https://t.co/z34sbqle22"""
1820,"b""@glaswegiantory i'm really sorry about this we are working as hard as we can to deal with the amount of queries tha\xe2\x80\xa6 https://t.co/lhvlbnaa4w"""
1821,"b'@aaliyahdeanne hello lili, if your credit card account is in credit now you will need to speak to us securely so we\xe2\x80\xa6 https://t.co/fdsxcr6nh1'"
1822,"b'@jonnyrebelart hello jonathan, i can certainly appreciate having to wait for so long is frustrating; were you able\xe2\x80\xa6 https://t.co/nq0bmdv6ih'"
1823,"b""@michaelnemo89 hi michael, i'm so sorry for this. have you looked at thel ink in one of our reposnses above? you ca\xe2\x80\xa6 https://t.co/oamk4gexam"""
1824,"b'@adam65702213 hello adam, i can certainly give you a hand with this; is there a reason why you think someone might\xe2\x80\xa6 https://t.co/0ld9zv2tie'"
1825,"b""@andywilmer @hayleyalysmua hey andy, thanks for your patience while we\xe2\x80\x99ve been so busy, we're doing our best to ope\xe2\x80\xa6 https://t.co/r8wj6kq0ut"""
1826,"b""@swhittle i'm sorry about this sally, do the messages provide you with a number that you need to call other than customer services? - dan"""
1827,"b""@paultransfer hi paul, so sorry for the delay in replying again. i'll reply to your dm . thanks nikki https://t.co/mpqb4etryv"""
1828,b'@adamdubday hi adam. please try this link to see if this one works any better for you https://t.co/qpduir3arm . if\xe2\x80\xa6 https://t.co/xksfabkstc'
1829,"b'@bagey1975 hi paul, can you dm me if you still need help and let me know what you mean by unlock? thanks nikki https://t.co/mpqb4etryv'"
1830,"b'@jtmanmenswear have you spoken yo someone about this? if not, can you let me know more around what you need to do?\xe2\x80\xa6 https://t.co/fwgwus7fpd'"
1831,"b'@jtmanmenswear hi, all our teams are extremely busy as we have a reduced number of staff and more customers contact\xe2\x80\xa6 https://t.co/4anxw0lldk'"
1832,"b'@t77nge we appreciate your patience, ange. i know its been a few days since you tweeted, have you received anything\xe2\x80\xa6 https://t.co/nh0qyx1grx'"
1833,"b""@mattcrooks97 hi matthew, you'd need to speak with customer services as they'll be able to do what's called a credi\xe2\x80\xa6 https://t.co/u2djbjduxb"""
1834,"b""@jourdemayne hi deborah, this should be fixed now. if you clear your cache and cookies and try again that'd be great. thanks nikki"""
1835,"b'@urban__groove hi there, during these difficult times you have to put yourself first 100%. check this page for upda\xe2\x80\xa6 https://t.co/wjcoo3zuxn'"
1836,"b""@fidonn hi fiona, i'll reply to your dm now. thanks nikki"""
1837,"b""@garethmorrison hi gareth, i'm not sure who've you will have emailed but unless it's secure message we'd not be abl\xe2\x80\xa6 https://t.co/rn7alecnsw"""
1838,"b""@simonknott86 hey simon aplogies for the delay in my reply. we're super busy right now which is why our queues are\xe2\x80\xa6 https://t.co/qa1x2wy3il"""
1839,"b""@sciolisthjf hi howard. i'm sorry you're having issues getting through to us, we are taking calls between the hours\xe2\x80\xa6 https://t.co/swcja9clqi"""
1840,"b""@siege_perilous i can certainly pass this on to the team as feedback, patrina. hopefully you've managed to speak to us now. kevin"""
1841,"b""@hehunts hi james. i'm really sorry about this we are working as hard as we can to deal with the amount of queries\xe2\x80\xa6 https://t.co/ym0fgnifcu"""
1842,"b'@biggc1970 if you\xe2\x80\x99re not registered for barclaycard online servicing, then just use this link\xe2\x80\xa6 https://t.co/vz4ftlsab9'"
1843,"b""@biggc1970 click on 'view your spending' and then click on the transaction; next, click \xe2\x80\x98query a transaction\xe2\x80\x99 and f\xe2\x80\xa6 https://t.co/je8t0i7xyn"""
1844,"b'@biggc1970 hi graham, sorry for the delay. you can call the barclaycard dispute team on 0800 161 5291 (7am-11pm) to\xe2\x80\xa6 https://t.co/ioq1swx9fs'"
1845,"b""@bern_eleven @laurynpryde hi david, i've just replied to your dm, this should be fixed now if you can try again. thanks nikki"""
1846,"b""@susie_worm yes susie, we're servicing thousands of calls successfully. the queues are very long and there is exces\xe2\x80\xa6 https://t.co/trsib93ukr"""
1847,"b""@karenmason hey karen so sorry about this, we're super busy right now! have you managed to get through yet? if not,\xe2\x80\xa6 https://t.co/a4lg9ggqy2"""
1848,"b'@bern_eleven @antrgreen hi david, if you can try today that should work now for you. also just clear cache and cook\xe2\x80\xa6 https://t.co/3ydfs2oils'"
1849,b'@richie__ryan hi richie. sorry for the late reply in coming back to you on this. you will need to speak with our go\xe2\x80\xa6 https://t.co/isodpghu47'
1850,"b""@caterinaamato8 the team are receiving thousands of calls caterina. they're working as hard as they can to service\xe2\x80\xa6 https://t.co/usp3atgosn"""
1851,"b'@angelahayworth hi angela, i can see you have sent us a dm and my colleague dan has got back to you there. christie'"
1852,"b'@rachael_crofts hey rachael, thanks for your tweet and so sorry for the delay in getting back to you, have you mana\xe2\x80\xa6 https://t.co/oc9holfbc2'"
1853,"b'@sophied_85 hi sophie, we won\xe2\x80\x99t be charging you late payment or cash advance fees between 19 march and 17 june 2020\xe2\x80\xa6 https://t.co/4htmk5qhnx'"
1854,b'@dobtastic you would have to send it in the post.  here is our web page with more information:\xe2\x80\xa6 https://t.co/b0ncffa95c'
1855,"b""@lili2 if you're having any problems generally with managing your money, you\xe2\x80\x99ll find helpful advice at our money wo\xe2\x80\xa6 https://t.co/gyqb2nuwj5"""
1856,"b'@lili2 if you think you could be financially impacted by covid-19, call us on 0800 046 8324 to find out how we can\xe2\x80\xa6 https://t.co/asapcbkiqf'"
1857,"b'@lili2 hello jax,\n\nwe won\xe2\x80\x99t be charging you late payment or cash advance fees between 19 march and 17 june 2020 \xe2\x80\x93 w\xe2\x80\xa6 https://t.co/cysrat8jjb'"
1858,"b'@harris_5family hello harris, please come over to facebook messenger.  i do want to help and find the best next ste\xe2\x80\xa6 https://t.co/wfb7umpmfb'"
1859,"b'@dialsquare10 hello there, we are not able to arrange callbacks from here for security reasons.  please come over t\xe2\x80\xa6 https://t.co/5kkbmcyqeg'"
1860,"b'@smithywannabe hello nik,\n\nplease come over to dm where the character count is higher, for this information.\n\n-ross https://t.co/mpqb4etryv'"
1861,"b'@samdmorgan hi sam, we\xe2\x80\x99ve fixed this issue today. please can you clear your cache and cookies and log in again as y\xe2\x80\xa6 https://t.co/uapoqdopzx'"
1862,"b'@luckymercenary hi there, are you having troubles with your online banking? if so, pop over to dm so we can chat further :) brogan'"
1863,"b'@a_cameron19 hi annabel, please can you send me a dm with why you called? if i can get you the help you need here,\xe2\x80\xa6 https://t.co/ussj0z0ksf'"
1864,"b'@shaunimctaggart hi shauni, i noticed your tweet and would like to help. please can you send me a dm with a little\xe2\x80\xa6 https://t.co/u9jcefrhmd'"
1865,"b""@jetsetninja hey jetset, thanks for your message and huge apologies for your long wait, we're so busy due to the im\xe2\x80\xa6 https://t.co/diglnjmaew"""
1866,"b""@esmith206 hey eric, thanks for your message and huge apologies for your long wait, we're so busy due to the impact\xe2\x80\xa6 https://t.co/bsakvdzcww"""
1867,"b""@sonia63962271 if you're having any problems generally with managing your money, you\xe2\x80\x99ll find helpful advice at our\xe2\x80\xa6 https://t.co/hbtja1qveq"""
1868,"b'@sonia63962271 if you think you could be financially impacted by covid-19, call us on 0800 046 8324 to find out how\xe2\x80\xa6 https://t.co/losipwgmyk'"
1869,"b'@sonia63962271 hello sonia,\n\nwe won\xe2\x80\x99t be charging you late payment or cash advance fees between 19 march and 17 jun\xe2\x80\xa6 https://t.co/yohrzgoso5'"
1870,"b""@kep212 also due to covid 19 and global lock downs, our digital teams are not available and it's only over the phon\xe2\x80\xa6 https://t.co/kpjvv65yye"""
1871,"b'@kep212 hello kate, we are experiencing high call volumes and we are also having to consider the health of our staf\xe2\x80\xa6 https://t.co/ymc7qie3ax'"
1872,"b'@christianrad hi christian, i\xe2\x80\x99m sorry that you have been on hold for so long trying to get through to us, did you m\xe2\x80\xa6 https://t.co/niq0rm1esv'"
1873,"b'@flutterbyplant hi flutts, can you send me a dm with a little more information on what device you have and i can ex\xe2\x80\xa6 https://t.co/s0g58refbz'"
1874,"b""@cphelan hi chris, i'm really sorry for the delay in responding. we're certainly not ignoring you and have been rea\xe2\x80\xa6 https://t.co/ktwk7qwlpe"""
1875,"b""@nat1811 hi natalie, i'm really sorry for the delay in responding to you. we've been really busy recently, did you\xe2\x80\xa6 https://t.co/deh5xbssme"""
1876,"b'@matt93671000 hello matt, i want to help you with this; our lines are open however due the high call volumes the wa\xe2\x80\xa6 https://t.co/po99h6lbrb'"
1877,"b'@hayleyalysmua hello hayley, i can certainly understand your frustration with the wait times, i know this is not id\xe2\x80\xa6 https://t.co/jltojgdo40'"
1878,"b'@coombem1978 @barclaysib hello matty, the mail room is operational but due to this situation it will take longer to\xe2\x80\xa6 https://t.co/mrhhgxtgld'"
1879,b'@1guyfromhalton if you have a complaint ongoing they will be in touch as soon as possible to discuss it. ramona'
1880,"b""@trentonspear hi trenton, sorry for the delay in my reply. i'd like to see how we can help. could you dm and let me\xe2\x80\xa6 https://t.co/0yq8h8c1mi"""
1881,"b""@brrrrraaaddders hi there, i've replied to the dm you've sent us to look to help further. steven b"""
1882,"b""@helloscottsdale i know it is not ideal having to wait for so long but if it is not urgent and you don't need it cl\xe2\x80\xa6 https://t.co/z0bzf7stfk"""
1883,"b""@helloscottsdale hello scott, i want to give you a hand with this; if you're looking to close the credit card accou\xe2\x80\xa6 https://t.co/wez1tfx9og"""
1884,"b'@si_p hello simon, i know having to wait for so long it is really frustrating and especially when taking care of a\xe2\x80\xa6 https://t.co/lft1ly69zx'"
1885,"b""@abuleyse hello abu, i'm sorry to see you're struggling to connect to us. the wait times are really high so i know\xe2\x80\xa6 https://t.co/lulwx0q5jn"""
1886,"b""@kei_maye i'm glad it's sorted; and once this is over we will look into bringing maybe making some changes to the h\xe2\x80\xa6 https://t.co/18ixmgb1sf"""
1887,"b""@francesca95_ oh no, sounds like you've been having a bit of a nightmare! as you can imagine due to the current glo\xe2\x80\xa6 https://t.co/viohai7oe8"""
1888,"b""@lynnelliotesq can you dm me and let me know what it is you need help with and i'll do my best to point you in the\xe2\x80\xa6 https://t.co/1r3qsqanmb"""
1889,"b""@lynnelliotesq hi lynn, i'm so sorry for the delay in our response while we've been so busy. i can assure you we ar\xe2\x80\xa6 https://t.co/w3lctzbihy"""
1890,"b""@geraldinewan hi geraldine, sorry for the delay in my reply. we'd need to speak with you over the phone to sort thi\xe2\x80\xa6 https://t.co/jbo5h6mi1a"""
1891,"b'@bertismalls i can certainly understand it is frustrating having to wait without knowing the wait times, please let\xe2\x80\xa6 https://t.co/ipm9ob6gqy'"
1892,"b""@chrissieshephe1 hey chrissie, thanks for your message and sorry for the delay in getting to you! we aren't looking\xe2\x80\xa6 https://t.co/qgnnqtacya"""
1893,"b'@iamemilymatthew perfect, i hope you enjoy the rest of your day and thank you for your time. we\xe2\x80\x99re here 24/7 if you\xe2\x80\xa6 https://t.co/tmb9v2ixd9'"
1894,b'@emilyoflanagan we are looking to have this online as soon as possible. please keep an eye out on the website for updates :) brogan'
1895,"b""@tonyragg @veloessex hey tony, very sorry about the late reply to your message, we're incredibly busy here! if you\xe2\x80\xa6 https://t.co/t7srbhc7vx"""
1896,"b""@dogheads1 hi there, i'm sorry to hear this has happened. i'd like to understand a little more to see if there's an\xe2\x80\xa6 https://t.co/t9bligpxjy"""
1897,"b'for more information about upcoming barclaycard payment holidays, please visit our website: https://t.co/v1ve4tmzfp https://t.co/8vexvkfcpn'"
1898,"b""@calliehopkins16 the 404 error you were seeing should be fixed now if you want to try again callie.  if it doesn't\xe2\x80\xa6 https://t.co/hxdjkl5d0o"""
1899,b'@kathgreenphoto sorry for the delay katherine. the 404 error you were seeing should be fixed now if you want to try\xe2\x80\xa6 https://t.co/pfm9rsmxm4'
1900,"b'@readingbug68 hey melanie, was this via online banking, secure message? if so, the normal time scale would be 48 wo\xe2\x80\xa6 https://t.co/abm7zvgbyz'"
1901,"b""@arranandjules1 hey julie, so sorry for the late reply to your message and for the wait times you've experienced :(\xe2\x80\xa6 https://t.co/ia3y0r2zjw"""
1902,"b""@trigster_1 hey colin, i'm so sorry for the delay in my reply while we've been super busy. have you managed to spea\xe2\x80\xa6 https://t.co/2esz6pgxn4"""
1903,"b""@dingbanks @asda i'm sorry that your transactions was declined daniel. you'll need to give us a call on 0800 151 09\xe2\x80\xa6 https://t.co/45dxd1b40t"""
1904,"b'@srpnor no worries steve, if you change your mind just let me know. take care and stay safe. - dan'"
1905,"b""@iamemilymatthew hi emily. sorry for the late reply in coming back to you. if it's directing you over to us i'm afr\xe2\x80\xa6 https://t.co/is42b1d0va"""
1906,"b'@africanfreckles hey natasha, we have fewer colleagues than usual answering the phones right now because of the cor\xe2\x80\xa6 https://t.co/ag2hs2okfn'"
1907,"b'@breezergalway hi there, sorry for the hold up in getting back to you. we\xe2\x80\x99re working on an online application form\xe2\x80\xa6 https://t.co/ezit9uipfh'"
1908,"b""@rhydd1 hi dave. sorry that you're having issues accessing your account online. you will need to speak with our dig\xe2\x80\xa6 https://t.co/64waeg4esx"""
1909,"b""@srpnor hi steve. sorry it's taken so long to come back to you on this we are extremely busy here on the social med\xe2\x80\xa6 https://t.co/2qiifrc6ja"""
1910,"b'@gem43184781 hi gem, if you need to raise a dispute take a look at this link as it will have all of the options and\xe2\x80\xa6 https://t.co/aixt0zysef'"
1911,"b'@matt140685831 hi matt! if this payment is fraudulent, you can raise this online, often without having to get any p\xe2\x80\xa6 https://t.co/zwhd7a8bjr'"
1912,"b""@travelsofalan hi alan, we're not ignoring you, we're just super busy! we\xe2\x80\x99re working on an online application form\xe2\x80\xa6 https://t.co/5wuf7jcd0i"""
1913,"b""@raavigupta4 i'm really glad that you've managed to get sorted raavi, take care and stay safe. thanks. - dan"""
1914,b'@tshilham hi tam. thanks for reaching out to us. your partner would need to call customer services to discuss this\xe2\x80\xa6 https://t.co/ltcfxefdc1'
1915,b'@caterinaamato8 2/2 if you need one of those sending back to your bank you would need to call us on 0800 151 0900 b\xe2\x80\xa6 https://t.co/zjoqz6iuep'
1916,"b'@79neb79 hey there, very sorry about the delay in getting back to you! we\xe2\x80\x99re actually now working on an online appl\xe2\x80\xa6 https://t.co/xchlbett4d'"
1917,"b""@caterinaamato8 hi caterina, if you've made a manual payment and have a direct debit in place this can happen depen\xe2\x80\xa6 https://t.co/lzb18zmpiz"""
1918,"b'@neilthompson hey neil, sorry for the delay in getting back to you! i do appreciate that completely, have you been\xe2\x80\xa6 https://t.co/tuyrfxie61'"
1919,"b""@justmeinnit @hesyms that's great news kel, thanks for coming back to let me know. take care and stay safe. thanks. - dan"""
1920,"b""@alexszaborl apologies alex, we can't help you with this via social media as it's not a secure channel. you would n\xe2\x80\xa6 https://t.co/at9ef3gfpu"""
1921,"b'@justmeinnit @hesyms you just need to speak to an advisor kel, you will eventually get through and the agent will b\xe2\x80\xa6 https://t.co/0z0hhhdqss'"
1922,"b""@georgiaabarberr i'm sorry georgia but we cannot make any outbound calls we are busy on all of our channels i'm afr\xe2\x80\xa6 https://t.co/jqfymdjc6u"""
1923,"b""@clarelkelly82 you'd be best to call the team on 0800 151 0900 so they can help process that. the team are only ava\xe2\x80\xa6 https://t.co/rwd8par80e"""
1924,"b""@raavigupta4 in that case raavi i'm stumped as it should just allow you do dispute them from there. the process is\xe2\x80\xa6 https://t.co/ognlrhin8m"""
1925,"b""@nadyashamsuddin @barclaysuknews @barclaysldn hi nadya, so sorry you're holding. we are answering calls as quickly\xe2\x80\xa6 https://t.co/q6dzadmizw"""
1926,"b'@eegleton i will respond to your dm ellie \xf0\x9f\x98\x8athanks, dean.'"
1927,"b""@raavigupta4 can you please sadvise why you can't do this online raavi are you having issues logging into your acco\xe2\x80\xa6 https://t.co/uu9aspdix7"""
1928,"b""@ashhcohenn we'll reply as soon as we're able ash. thanks nikki"""
1929,"b""@ashhcohenn ok ash, i'd recommend either writing to us to close the account or waiting for a while until the situat\xe2\x80\xa6 https://t.co/1q4eboowkg"""
1930,"b""@rebecca02312589 hi rebecca, so sorry you're having that issue. our team on 0800 151 0900 are able to help with tha\xe2\x80\xa6 https://t.co/1si5qamtj6"""
1931,"b'@ashhcohenn hi ash, we do have staff working on those but due to the impact to both staffing levels and customer wo\xe2\x80\xa6 https://t.co/pi2xdpdi1i'"
1932,"b'@shelltc25 hey shelley, take a look at this link for more advice on that: https://t.co/dnd2pevsi6 thanks nikki'"
1933,"b""@louisexwilkes hey louise, so sorry for the wait times you've experienced when calling :( we have much fewer collea\xe2\x80\xa6 https://t.co/6top6adgdj"""
1934,"b""@far_ah94 hi fara. not right now, but don't worry we've got you covered! you can turn any compatible android handse\xe2\x80\xa6 https://t.co/kp95cgebkq"""
1935,"b""@_johnburrows @rich_erd we really don't have your account on mute john. we're just that busy that it's taking this\xe2\x80\xa6 https://t.co/0qn3yvqlij"""
1936,"b""@natashawhiting hi natasha, so sorry you're holding. the wait times are due to the impact of corona virus on both o\xe2\x80\xa6 https://t.co/25gzps6egp"""
1937,b'@luebyloo hi lu. can you drop us a quick dm on the button below? if you can include your postcode and the best numb\xe2\x80\xa6 https://t.co/nrenmyop2y'
1938,"b""@robot1066 i'll reply to your dm shortly. thanks nikki"""
1939,"b'@tlaindon1 hi tariela, we advised of no late payment charge or cash advance charge. interest will still be accrued.\xe2\x80\xa6 https://t.co/mm4uzd1pwn'"
1940,"b""@gavajones 2/2 if not then you'd be best to call us on 0800 151 0900, the team are very busy so wait times are in e\xe2\x80\xa6 https://t.co/dblz0vxxeu"""
1941,"b""@gavajones our app team are currently unable to support so that's something we can look into once they're back up a\xe2\x80\xa6 https://t.co/7gihebig53"""
1942,"b""@stevenbarr321 hi steven, further update. if you check this link there's more information on our plans for repaymen\xe2\x80\xa6 https://t.co/h3pbrettv4"""
1943,"b'setting up a direct debit means you don\xe2\x80\x99t have to worry about remembering to pay your bill- which could be useful,\xe2\x80\xa6 https://t.co/lzvwwqvz2g'"
1944,"b""@466gw hi there. sorry for the late reply in coming back to you. if you have any transactions that you don't recogn\xe2\x80\xa6 https://t.co/adcgsa8ryr"""
1945,"b""@raavigupta4 2/2 our best to help put our customers mind at rest, so that's why we are advising you to print out th\xe2\x80\xa6 https://t.co/dd6zncjkap"""
1946,"b'@raavigupta4 hi raavi, apologies i hope that you can understand that due to the circumstances we are working as har\xe2\x80\xa6 https://t.co/wmrwmhguwl'"
1947,"b""@clarelkelly82 hey clare, i'm sorry for the delay in getting back to you, we've been super busy across all channels\xe2\x80\xa6 https://t.co/5nnucwfkpj"""
1948,"b'@colhamil hi colin, if the dispute has been processed then this will not be taken, if however your dispute case is\xe2\x80\xa6 https://t.co/cjczwbcmrk'"
1949,"b""@brownstone1892 2/2 was the reason that you were trying to get logged in and i'll see if there is an alternative me\xe2\x80\xa6 https://t.co/hw8klkunao"""
1950,"b""@brownstone1892 hi carl. i'm sorry that you're having issues getting access to your online account. unfortunately t\xe2\x80\xa6 https://t.co/fxjar5qu1c"""
1951,"b""@gavajones hi gavin, sorry you're not able to see those. have you tried to check them in your online account? thanks nikki"""
1952,"b""@russb4 i've done it russell and managed to stay strong. what would you suggest we play instead, i'll see if i can\xe2\x80\xa6 https://t.co/760oitz1p9"""
1953,"b""@amandam74063824 just enter your 16 digit card number as the reference, don't put any spaces or other characters in\xe2\x80\xa6 https://t.co/1tkcgr4i7m"""
1954,"b""@secondgengamer hey pau, so sorry for the late reply we're very busy here at the moment! if you're still needing he\xe2\x80\xa6 https://t.co/yeji1cphrn"""
1955,"b""@mikedenaro1 hi mikey, i'll reply to your dm now. thanks nikki"""
1956,"b""@damnrightuk hi mike, sorry but we're not a secure channel so can't help here. if you dm me more about the reason y\xe2\x80\xa6 https://t.co/wxpwltqt1m"""
1957,"b""@gj4man hi there, i'm sorry i don't know the current service levels. depending on what your query relates to could\xe2\x80\xa6 https://t.co/y6xqgglqql"""
1958,"b""@kierans1989 so sorry for the late reply kieran, we're incredibly busy at the moment. ahh i see, if you're looking\xe2\x80\xa6 https://t.co/iabnqeho2u"""
1959,b'@brunokirby 2/2 days a week between 8am - 8pm on 0800 151 0900 or you can pop your request in writing to the follow\xe2\x80\xa6 https://t.co/yvy6h0qjd8'
1960,"b'@brunokirby hi drew, at this current moment in time due to covid-19 we are really busy across al channels especiall\xe2\x80\xa6 https://t.co/tfhq0kqtpq'"
1961,"b""@amandam74063824 hi amanda, paying via your bank is secure. we're not a secure channel is what i meant. sorry for t\xe2\x80\xa6 https://t.co/d2ruwyqvxg"""
1962,"b""@sharky7771 hey, so sorry for the late reply! we've been incredibly busy here recently, i appreciate your patience\xe2\x80\xa6 https://t.co/r3vugnfuff"""
1963,"b""@russb4 thanks for your patience on this one russell, really glad that you've managed to get sorted. take care and stay safe. - dan"""
1964,"b""@lisajaynedowson hi lisa. you'll need to call our digital team regarding this if you still cannot see your barclayl\xe2\x80\xa6 https://t.co/nuxvatza8b"""
1965,"b""@megalecelectric we have just raised this to \xc2\xa345 at the moment chris. i'll pass your suggestion on to the team though. thanks nikki"""
1966,"b'@jrw1916 hi jennifer, if you can send me a dm by clicking the button. thanks nikki https://t.co/mpqb4etryv'"
1967,"b""@jayethomas6 hi jaye, sorry about that. we're looking into this but in the meantime if you'd like to let me know wh\xe2\x80\xa6 https://t.co/ykfh7zlopc"""
1968,"b""@bluetreebiz hi david, sorry you've not had a reply. we're trying our hardest to deal with queries as quickly as po\xe2\x80\xa6 https://t.co/x6ux16qwhs"""
1969,"b""@neilwilliams87 2/2 due to the current situation, we're experiencing higher call queues than usual at the moment so\xe2\x80\xa6 https://t.co/lxlqerv16i"""
1970,"b'@neilwilliams87 hi neil, we can get that credit balance transferred back to your bank account for you but we would\xe2\x80\xa6 https://t.co/y7hmfogzv1'"
1971,"b""@olivero13771028 thanks for explaining oliver, so sorry you're in that situation. if you keep a check on this link\xe2\x80\xa6 https://t.co/pjr5teqskp"""
1972,"b""@rsdrussell hi there, if you keep an eye on this page we'll update it with any news as it becomes available in rega\xe2\x80\xa6 https://t.co/p7fs4sxhp8"""
1973,"b""@candacekendall_ hi candace, sorry about that. if you'd like to dm me details of the calls that would be great. thanks nikki"""
1974,"b""@burdett_trevor hi trevor. sorry for the late reply in coming back to you on this, you'll find all of the info that\xe2\x80\xa6 https://t.co/bjeusmrh7h"""
1975,"b'@shorny82 hi shaun, sorry that your trip was cancelled due to covid-19. if you take a look at this link it explains\xe2\x80\xa6 https://t.co/gxqtdxumqr'"
1976,b'@_bethismint hi beth. if you need an update on your case you would need to call our disputes team. however due to c\xe2\x80\xa6 https://t.co/wizl9hwb43'
1977,"b""@amandam74063824 hi amanda, we're working through messages as quickly as we can. as you can imagine we have many mo\xe2\x80\xa6 https://t.co/my4pthl4x3"""
1978,"b""@dansumner16 @chellby_1 hi dan, if you want to dm me and explain your situation i'll see what i can suggest. thanks\xe2\x80\xa6 https://t.co/hs1biclotc"""
1979,"b""@captainshmit you can find our website on https://t.co/slprcvbk3e if you're not able to get in you can print off a\xe2\x80\xa6 https://t.co/yw7ydmgmuk"""
1980,"b""@russb4 hi russell. i'm sorry it's taking so long to get through, we have fewer team members available as well as m\xe2\x80\xa6 https://t.co/opmcm36zby"""
1981,"b""@ashiyan hi ashiyan, we're barclaycard uk. @askbarclaysus will be able to address this for you. they're available 9\xe2\x80\xa6 https://t.co/ptzotu5yfr"""
1982,"b""@olivero13771028 hi oliver, so sorry you didn't get the help you wanted. can you explain what happened? thanks nikki"""
1983,"b""@chellby_1 hey richelle. if you can dm me we'll try to find a way around this for you. thanks nikki"""
1984,"b'@stevenbarr321 hi steven, we have no updates to provide at this moment. you can keep you to date with news on the s\xe2\x80\xa6 https://t.co/nekgfjzo1y'"
1985,"b""@furan917 hi francis, i'm sorry you were having some troubles online! if this is still ongoing, can you try clearin\xe2\x80\xa6 https://t.co/wormza9noc"""
1986,"b""@eaglehodgsonm hi michael, i'm sorry for the delays over the phone, we've a lot of customers calling for support. d\xe2\x80\xa6 https://t.co/4iyz632rrf"""
1987,"b""@fuck_twr if you're having any problems generally with managing your money, you\xe2\x80\x99ll find helpful advice at our money\xe2\x80\xa6 https://t.co/r1lcmotuel"""
1988,"b'@fuck_twr if you think you could be financially impacted by covid-19, call us on 0800 046 8324 to find out how we c\xe2\x80\xa6 https://t.co/riut8mt5vq'"
1989,"b'@fuck_twr hello there,\n\nwe won\xe2\x80\x99t be charging you late payment or cash advance fees between 19 march and 17 june 202\xe2\x80\xa6 https://t.co/ezvcojs4oc'"
