,text_punct
1553,bTommyDalton Hi Tommy with the global situation were busier than usual and some teams arent in the office We axe2x80xa6 httpstcokOCDIFYiWV
1554,bcuriousonly Ah brilliant  Im glad you were able to hang in there so we could help  Let us know if theres anytxe2x80xa6 httpstcoWeON5cqh3f
1555,bcuriousonly Hey Angelica with the global restrictions in place some of our teams arent available while others arxe2x80xa6 httpstcocOg0WxdHO2
1556,bsamantha_wil2 Hi Samantha sorry for the delay We can get that credit balance transferred back to your bank accouxe2x80xa6 httpstcoq9nF0JCSEV
1557,bHanaCurlett Hi Hana Im really sorry for the delay in responding to your message Ive replied to your DM with soxe2x80xa6 httpstcojOX2FQDCyj
1558,bclare_11 Hi Clare do you have the credit card number do not divulge it here You can use our automated servicexe2x80xa6 httpstcof0Qsf0U0jT
1559,b23Caromia Hi there sorry for the delay I hope youve been able to make your payment If you havent please feelxe2x80xa6 httpstcoMrJhVuivAj
1560,balexszaborl Hi Alex sorry for the delay weve been busier than normal Have you managed to speak with the team yet Lisa
1561,bBenhall44 Hi Ben thank you for your message and I apologise for the delay in my reply were extremely busy at thxe2x80xa6 httpstcoszRrSMf3zK
1562,badammgreen_ Im really sorry about the wait time across all of our channels at the moment Adam  however we arenxe2x80xa6 httpstco585pqpPaz5
1563,bshootingbucks In turn wexe2x80x99re also seeing lots of extra demand into our social channels and this is having an impactxe2x80xa6 httpstcoqFpsARwBi4
1564,bshootingbucks Hey Bruce I am sorry about the long wait We have fewer colleagues than usual answering the phonesxe2x80xa6 httpstco0PZawX9krN
1565,biris_smooches Im sorry about this can you pop over to DM and let me know what happens when you try to report thexe2x80xa6 httpstcoNnEyYtDOrX
1566,blikeacopycat Just so I know the best options for you can you confirm if you are struggling financially and if youxe2x80xa6 httpstcoX5FW0OEZUR
1567,blikeacopycat Hi Im sorry for the delay in my reply were extremely busy at the moment due to the current pandemxe2x80xa6 httpstcoNkLuO67RJh
1568,bjoefarren4 Hey Joe Im sorry to hear this you would need to give our team a call on 0844 811 91111 MonSun 7amxe2x80xa6 httpstcopXiBhcl9om
1569,bNoddy63270524 Hi Sorry for the hold up Did you manage to get sorted We cant stop a transaction if its in procexe2x80xa6 httpstco69FDbBSpvo
1570,bssa91pt Sorry for the delay Silvio We cant accept via email right now but were looking at online options Forxe2x80xa6 httpstcojIcdIN1fmW
1571,bChrisSc02504440 Hi Chris Sorry for the hold up here Did you manage to get this sorted If not pop across to DM axe2x80xa6 httpstcoYwYuFaO8CY
1572,btazdotcom Hey there if you pop over to DM we have a higher character count and will be able to provide the latestxe2x80xa6 httpstcoIb2qGGgjDz
1573,bRaivisOlehno Hi Raivis Sorry for the hold up Did you manage to get this sorted If not drop us a DM on the buttoxe2x80xa6 httpstcoAmVF2QwfTF
1574,b_johnburrows Have you had the help you need John Were doing our best to get to speak to those who need it most axe2x80xa6 httpstcoEE9bbgdgtl
1575,bAJDF1234 No worries at all AJ Stay Safe Thanks Cass
1576,bRichie_B_Knight Im really sorry for the problems getting through to us Richie Id like to help you though  canxe2x80xa6 httpstcobn1XttVXNO
1577,bLilyDawnCreati1 Just replying to your DM Thanks Nikki
1578,bLilyDawnCreati1 So sorry for the delay in replying Is this in relation to your personal BarclaycardnnIf so checkxe2x80xa6 httpstcoY2tbblTzEn
1579,bLindsays_home Hi Lindsay can you DM me details of your query and which number you were calling Thanks Nikki httpstcomPqb4etrYV
1580,bAJDF1234 I know it looks like an odd one AJ but its definitely the right address Thanks Cass
1581,byellowjersey1 CallieHopkins16 Just seen this one If you DM me dets of what you were logging in to do Ill see whxe2x80xa6 httpstcoeM6fAt0Psd
1582,byellowjersey1 Hi there our reset page has been fixed if you can try again Any further problems youd need to spexe2x80xa6 httpstco1ZLEuk546n
1583,bShayflea Hi Flea if you purchased a trip or event using your Barclaycard you could be covered by purchase protecxe2x80xa6 httpstcok0WuVcThJn
1584,bReadingbug68 Hi Melanie it depends what your query relates to as some of our teams are busier than others If youxe2x80xa6 httpstcojlC84fVIbG
1585,bAmandaM74063824 Ive just replied to your other tweet Amanda Thanks Nikki
1586,bAmandaM74063824 Were a bit limited to what we can do here to help get that sorted Amanda Did you manage to sendxe2x80xa6 httpstcornYSzfqay0
1587,bKoinTheFirst Hey there Im so sorry about the long wait time that you experienced I hope you managed to get thisxe2x80xa6 httpstcoFrAY4hoMXO
1588,bLauraBrunyee Im really sorry about this we are working as hard as we can to deal with the amount of queries thatxe2x80xa6 httpstcorL7rbWkvQv
1589,bMAHLInteriors Hi There apologies for the late reply in coming back to you on this Can you please advise is thisxe2x80xa6 httpstconQxnVzMvHe
1590,bnickyswords cabinetofficeuk Hi Nicky Im really sorry about this we are working as hard as we can to deal with txe2x80xa6 httpstcom8nFP0UMdo
1591,bIf you spot any suspicious transactions on your account you can report them easily using Barclaycard online servicxe2x80xa6 httpstcot6C1RZdvRO
1592,bwayneehh Hi Wayne our teams are available 8am to 8pm daily but are receiving high volumes of calls so wait timesxe2x80xa6 httpstco5pKuPPteSv
1593,bKJT22381 As we would still require a payment for those not impacted by Corona Virus we are still required to sendxe2x80xa6 httpstcoRo18natueZ
1594,bjamislike Hi Jam sorry for the delay If youre not able to see that refund tomorrow after our systems update plexe2x80xa6 httpstcoDdt6u9PRnh
1595,bsjb_2015 Hi Stephen Ill reply to your DM now Thanks Nikki
1596,b_johnburrows Rich_Erd 22 When I review an old comment Im also checking for newer ones and trying to reply to thxe2x80xa6 httpstcoLZ4hzAkj3H
1597,b_johnburrows Rich_Erd Hi John Those customers are likely to have messaged us at an earlier time and sent furtherxe2x80xa6 httpstcoAXQyKdaTcs
1598,bLukeo712 Ah Im really glad its been sorted Luke  Stay safe Nic
1599,bEagleHodgsonM Hi Michael Sorry for the hold up If youve not managed to sort this feel free to drop us a DM andxe2x80xa6 httpstcoXZWbSPVeEj
1600,bRosieGweilo 22 If you DM me your query Ill see if I can find an alternative way for you to get help Thanks Nikki
1601,bRosieGweilo Hi Rosey due to the current situation our lines are extremely busy Were available 8am to 8pm and arxe2x80xa6 httpstcotevO0VgNBs
1602,btanyaKGx Hey Tanya I can see your DM so Ill reply now  Dan
1603,bSmallfb1 Sorry for the delay in getting back to you but thanks for your understanding have you received it yet Ixe2x80xa6 httpstcoPbLImp653N
1604,bLukeo712 Hey Luke Im so sorry for the delay in getting back to you but thanks for your patience Are you still nxe2x80xa6 httpstcoJXJqwd8dRa
1605,bBrendanBall_ Keep an eye on that Brendan If it does disappear before the 25 months just come back to us and wellxe2x80xa6 httpstcoPVsAeOG3m8
1606,bMarianna_Szucs Hi Marianna Im so sorry youre feeling that way We have updated those pages now with further infxe2x80xa6 httpstco4O6h8sj2lG
1607,balan_lawrance Hi Alan Im really sorry about this we are working as hard as we can to deal with the amount of quexe2x80xa6 httpstcozAujonRHDN
1608,bAdactMedical Okay in that case you would need to contact our friends a BcardBusiness and theyll be happy to assixe2x80xa6 httpstcopREZqj6NBY
1609,bali07 Hi Ali apologies for the late reply in coming back to you on this The link to reset your details should bexe2x80xa6 httpstco0LFAUDqrdm
1610,bAdactMedical Good Morning apologies for the length of time it has taken to come back to you on this Is it a persxe2x80xa6 httpstcoCgozwJj6nN
1611,btaylor_shieldss Hi Taylor I think I might have just picked up a Facebook message from you on this If not drop mexe2x80xa6 httpstcoICBXH0rmNz
1612,bJamieLeighxoxo_ Hey Jay it sounds like youll need to reach out to Barclaycard US AskBarclaysUS Monday to Fridayxe2x80xa6 httpstcoAVUsOHgxXO
1613,bMSalhotraNahar Hi Martha our team is open but theyre just extremely busy and have reduced staff levels due to thxe2x80xa6 httpstcoeJAEA7Ufza
1614,bohsteelers Hi there I think youre looking to reach out to our friends over AskBarclaysUS Monday to Friday 9am5xe2x80xa6 httpstcoWkvTGwV6ru
1615,bMandathekini Hey Manda with the global restrictions in place some of our teams arent available while others arexe2x80xa6 httpstcoKXpiUAXaZv
1616,bMindfulPraxis Hi Elijah with the global restrictions in place some of our teams arent available while others arexe2x80xa6 httpstco5p33O0rC7z
1617,b1nocalchk Hi Tanya with the global restrictions in place some of our teams arent available while others are funcxe2x80xa6 httpstco8rVJqAHMcS
1618,bBenDaSilva1992 Ah no  can you clear your cache and cookies and try again Let me know how it goes  Rach
1619,bRichJBrooks Hey Rich Murphys law youd get answered just after that Im so glad you stuck it out so we could hexe2x80xa6 httpstco0zKxORxL50
1620,b_drewforsyth Hi Drew with the global restrictions in place some of our teams arent available while others are fuxe2x80xa6 httpstcog27trt8jsu
1621,bsource45_az Hi there with the global restrictions in place some of our teams arent available while others are fuxe2x80xa6 httpstcoCQTw2teYKp
1622,brobbobrad1997 Hi Bradley with the global restrictions in place some of our teams arent available while others arxe2x80xa6 httpstco75Luwqauzf
1623,bwilsy96 Hi Stephen Im sorry to hear about your wifes job If you think she could be financially impacted by Covxe2x80xa6 httpstcoa4Z2BJYnt6
1624,bIndexEagle Hi there if you think you could be financially impacted by Covid19 call us on 0800 046 8324 to findxe2x80xa6 httpstcoNjmfayBJLI
1625,balisonthursby Youre more than welcome Alison Remember that were here 247 if you ever need us again in future xf0x9fx91x8dxf0x9fx8fxbb Corrina
1626,bHfprLtd If you could DM the reason for your call Ill be happy to help Corrina 22 httpstcomPqb4etrYV
1627,bHfprLtd Hey there it is Im afraid  we consistently have thousands of people queuing at any one time which isxe2x80xa6 httpstcoj8IxwxwEUR
1628,bKatieUsher87 Just in case youve missed it  I just wanted to give you the heads up that weve replied to your DM Corrina
1629,bkevwynd Hey Kev Im so sorry that the line keeps cutting off You mentioned that your online account has been locxe2x80xa6 httpstcoHCiFQVVXYD
1630,bkcajrum Ah perfect thanks for letting us know Jack Were here 247 if you need anything from us in the future xe2x80xa6 httpstcoI2YHPpo10N
1631,bMartinAshton91 Hey Martin Ive noticed your tweet  I hope that youve been able to speak to us about this sincexe2x80xa6 httpstconNlbsrF5XL
1632,bKirstsmed14 Youre more than welcome Kirsty Thanks Cass
1633,bmalcolm1uk Thats lovely to hear Malcolm thanks so much for letting us know Thanks Cass
1634,bRussB4 Ah  thats odd Russell Im not too sure to be honest but if you DM your postcode and phone number then wexe2x80xa6 httpstco01yyybFqzI
1635,bIrishBarnes Im really sorry James what is it youre trying to speak to the team about Ill see if its somethinxe2x80xa6 httpstcoFvmeAE08P3
1636,bKlive_seabass Sorry about this Clive I can see Dan replied to you yesterday by DM If you need anything else jusxe2x80xa6 httpstcoQp53TFbKFD
1637,bRoCo67 Weve had a few issues Roco if youre not sorted then just drop me a DM with your postcode and phone numbexe2x80xa6 httpstcoHq8cbc72K7
1638,bAsianCowboy13 AskBarclaysUS Thanks Eric in that case Ill leave you in the capable hands of the US team Whilstxe2x80xa6 httpstcoiANg0tCJRP
1639,bluciebexon Hi Lucie 24hrs would be our usual response timeframe but at the moment were super busy across all chxe2x80xa6 httpstcojmu3qxQf1g
1640,b466gw Hi If you want to pop over to DM on the button below well see if we can get to the bottom of this for youxe2x80xa6 httpstcoOClPqkhduV
1641,bburdett_trevor Hi Trevor are you wanting your online access unlocking If so just send me a quick DM with your pxe2x80xa6 httpstcon9PBOqljLY
1642,bneilwilliams87 Hi Neil It will show as in credit We can then look at refunding it to your bank account or if yoxe2x80xa6 httpstcojN2SVeczxA
1643,bthomasrfrost Hey Tom whilst I hope that you did eventually get through to customer services to discuss this  ifxe2x80xa6 httpstcoLWC26bU0ZU
1644,bCoxioRio2016 Ah sorry about this Paul Do you mean you have a credit balance and you want it refunding If so sexe2x80xa6 httpstco9AjpDUqPBd
1645,bwayne_wright170 Thanks for letting us know Carl Enjoy the rest of your Sunday  Cass
1646,bmichaelgibson72 22 For those who are not able to make a payment at all we are offering help you can take a lookxe2x80xa6 httpstcoqYyKK8Kbdn
1647,bmichaelgibson72 Hi Mike we are required by the FCA to send certain regulatory communications in relation to Persixe2x80xa6 httpstcoDRaEOqv5uF
1648,balec46819 Totally understand that Alec Well reach out to any customers whove missed payment to advise what theixe2x80xa6 httpstco0690kYf8tD
1649,bneilwilliams87 Hi Neil dont worry if they refund to your card just get in touch and we can send it back to yourxe2x80xa6 httpstcoRIYPpxC5TY
1650,bclareh233 Due to the current situation were experiencing higher call queues than usual at the moment so if yourxe2x80xa6 httpstcoziao9k8pNF
1651,bclareh233 Hi Clare We can get that credit balance transferred back to your bank account for you but we would needxe2x80xa6 httpstcot1pz55Quhl
1652,bbeefcakes_ Thats odd Gemma theyre definitely out numbers and Ive called them and got through to the right teamxe2x80xa6 httpstcowlNNblEye9
1653,b_PHphotography Thanks for the feedback Stay safe Thanks Nikki
1654,balec46819 Hi Alec if you check this link for more info on how we can help httpstcoiWvLWd93AS I hope that helps Thanks Nikki
1655,bIsThisBetterYet Thanks for the feedback Stay safe Thanks Nikki
1656,blrdw1 Hi there Ill reply now Sorry for the delay Thanks Nikki
1657,bPhlipGodfrey Ah thats a bit odd Philip Im so sorry for the delay in coming back to you but im hoping that youxe2x80xa6 httpstcoP9NkLsi6V2
1658,bdavekoor It will be too late to cancel your Direct Debit for tomorrow Dave as this process starts 4 days prior Wxe2x80xa6 httpstcodNdpi8bMxA
1659,bxo_hedya AskBarclaysUS Thanks for letting us know xf0x9fx91x8d Well leave you in the teams capable hands theyre the experxe2x80xa6 httpstcoj7OZpudYEE
1660,bsophie_runs Im apologise for the delay Soph I appreciate your frustration and were very sorry to lose you as a customer  Thanks Cass
1661,bNeilnio Hi Neil Were really busy across all channels at the moment I dont have a timeline to share but if youxe2x80xa6 httpstco7zD49vU4ce
1662,bnettybettysteve Ah Im really sorry Annette I know its not ideal right now but thanks so much for your understaxe2x80xa6 httpstcoAV66oDbvp0
1663,bDavidCampbellw2 Hey David I hope you were able to speak to us Would you mind telling me what it was that you werxe2x80xa6 httpstco55gKAS381G
1664,bMichaeljdobbin Hey Michael Ive noticed your tweet  could you tell me what it was that you were ringing us to discuss Corrina
1665,bwayne_wright170 Hi Wayne Do you have access to your online account If you take a look at one of your statementsxe2x80xa6 httpstco5L6A9aO4W0
1666,bAsianCowboy13 AskBarclaysUS Hi Eric Can I check if this Is this linked to a UK or US account pleaseThanks Brendan
1667,bxKiranVx I cant see whether we got your letter from here Kiran but Id definitely expect there to be a delay withxe2x80xa6 httpstcoAypPPiUFAX
1668,bSimonjhbenson It shouldnt be too much longer Simon thanks for your patience Thanks Cass
1669,bSpennooooo Hi Callum if you can DM me with your postcode and phone number then one onf the team will give you a cxe2x80xa6 httpstcofTFGZaIo05
1670,bponderer71 Hi Sorry for the hold up Ill pick this up now for you Thanks Brendan
1671,bCraigoWill No problem Craigo Just DM your postcode and phone number and well give you a call and help you with this Thanks Cass
1672,bxo_hedya Hey So sorry for the delay I cant see any messages from you is this linked to a US account by any chaxe2x80xa6 httpstcoUCn0C14Zgd
1673,bTrentonSpear Great to hear Trenton thanks so much for letting us know Thanks Cass
1674,bJLeadbeatter Hi Jamie thats a phrase you set yourself as a verification so you know that its definitely us Thanks Cass
1675,bblackrat999 ubtay Thanks so much for your patience and understanding Richard glad to hear youre sorted Thanks Cass
1676,bjcharles121 Hey Jason to see the alternative ways that you can change your address please see httpstcoXGWagOmD0Y Corrina
1677,bHannah_Morris Hi Hannah Ive just replied to your DM Thanks Nikki
1678,balisonthursby We dont have all of the details yet Alison but I dnt think your current offer would change at allxe2x80xa6 httpstcodENEs0u4YD
1679,bBatSplats Sorry for the hold up Rob Did you get sorted You should be able to do this online here httpstcoYdTzebOjde Thanks Brendan
1680,bMalikaOnline_ 22 Where it asks Are you a Barclays or Barclaycard customer You just need to select the approprixe2x80xa6 httpstcoWP774SS9lk
1681,bMalikaOnline_ If youxe2x80x99d like to request that we stop processing your data completely Malika then you can do that byxe2x80xa6 httpstcoh16VKHL4rc
1682,bthewullsta Im really sorry Peter were dealing with more calls than unusual at the moment but if you DM your posxe2x80xa6 httpstcoKmdPFLDMtQ
1683,bpulverisedrock Hi Ash Sorry for the delay Did you manage to get through to get this sorted Thanks Brendan
1684,bStig_Bubblecard sykescottages Thanks for your understanding Andy its much appreciated in these difficult times Thanks Cass
1685,bIf you find youxe2x80x99re having problems logging in to Barclaycard Online Servicing herexe2x80x99s a few troubleshooting tips whxe2x80xa6 httpstcokAU3XT5EWU
1686,bSusanne_Sos Hi Susanne Sorry the delay in getting back to you Are you still having difficulties feel free to popxe2x80xa6 httpstcoe7pEhrSEtc
1687,bXRPJOKER Sorry for the late reply You may have spotted this already by now but were working on the option for pxe2x80xa6 httpstco2WilCKwxn3
1688,bSimonjhbenson Sorry for the delay Simon You may have spotted this already but were working on the option for paxe2x80xa6 httpstcovPCnOxulRb
1689,bjohnfranieuan Hi Jonathon Sorry for the delay in getting back to you I can see youve dropped us a DM so well pxe2x80xa6 httpstcoP6L4Q9v7Nv
1690,brjsysko Hi Sorry for the hold up in getting back to you Is this linked to UK or US card If its UK feel free toxe2x80xa6 httpstcotxlDju2tPU
1691,bChebbie1 Hi Deb Sorry for the hold up to get back If you still need help with this feel free to pop across to Dxe2x80xa6 httpstcouI5y7aWvT1
1692,bSowerbyDale Hi Stuart We cant cancel a pending transaction but it will drop off after 7 days from the date it wxe2x80xa6 httpstcoxheQdS7K7o
1693,bf1shc8k Hi Really sorry for the hold up Weve updated our forgotten details steps online now If you can clear yxe2x80xa6 httpstcoZ5q049DB0U
1694,bIndexEagle Sorry for the hold up You may have spotted this already but were working on the option for payment hxe2x80xa6 httpstcomlhIrMubDC
1695,bGemsActiDerm Hi Gemma Weve updated our forgotten details steps online now If you can clear your cache and cookixe2x80xa6 httpstco4kHV143yNN
1696,bJamieRGrech Thanks for your understanding Staysafe  Cass
1697,bTweetypie01 Hi there Claire Im sorry you couldnt get the help you needed Have you been able to speak with thexe2x80xa6 httpstconh4qAY8RJR
1698,bEmmaReardon Hi Emma Really sorry for the hold up You can see how to raise a claim and download or dispute formsxe2x80xa6 httpstcoDGmpEaTrOR
1699,bDesignerAfloat Sorry for the delay in replying Col You may have spotted this but were working on the option forxe2x80xa6 httpstcoSz3iCmjsAR
1700,bnayfurn Hi Nathan You may have spotted this already but were working on the option for payment holidays for youxe2x80xa6 httpstcowUltFw2RST
1701,blordfortoroy mbna VirginMoney Sorry for the hold up Christian You may have spotted this already but were workxe2x80xa6 httpstco06STUYfcCu
1702,bSoneyKuri Hi Soney the team will be in touch as soon as they can to help with that Thanks Nikki
1703,bTomStannard10 Hi Tom nnIf youre having trouble resetting your details please try clearing your cache and cookiexe2x80xa6 httpstcoTA1w0onyN0
1704,brippleator Hi Sorry for the hold up Were currently working on payment holidays and an online form should be livxe2x80xa6 httpstcoZBuqhi6BHb
1705,bfunrunrobbie Hey Stewart thanks for your patience while wexe2x80x99ve been so busy were doing our best to operate as bexe2x80xa6 httpstcofPQjex3Pp0
1706,bNatalieAL So sorry Natalie Were working on it Thanks Nikki
1707,bdrgarethroberts Hi Gareth so sorry you were cut off Do you want to DM me details of why you were calling Thanksxe2x80xa6 httpstcojJ9KY6yFaM
1708,bGem43184781 Im really sorry for any delay Gem things are currently taking a little bit longer than usual when wexe2x80xa6 httpstcoMAIlD7ZLI6
1709,babbielou1231 Hi Abbie Im sorry for the delay in getting back to you Were experiencing high demand right now Ixe2x80xa6 httpstcombkhOyAMrh
1710,btiffaliffers Hi Tiffany sorry for the delay Wexe2x80x99re working on an online application form to request a payment holxe2x80xa6 httpstcokAxlgPvVBJ
1711,bssbib85 Hi there generally youd not see refunds in pending It may be that they never made it to the card and thxe2x80xa6 httpstcoF9j8cRHqQh
1712,bCarsCheshire Hi there if this is in relation to your business account BcardBusiness will be able to help with thxe2x80xa6 httpstcoyOam4fQ6fG
1713,bStig_Bubblecard In the first instance wed direct you to the company to discuss with them but if theyre unable txe2x80xa6 httpstcoDE5YWLndjE
1714,bTheCombatGolfer Hi there apologies for the delay Ill reply now Thanks Nikki
1715,bVoiceNote4 Hi Jamez you can raise a dispute for a missing refund If you select the transaction youre querying ixe2x80xa6 httpstcovPKtK6AVbD
1716,bMegWilliams95 Hi Megan Im sorry for the delay in getting back to you Were experiencing high demand across allxe2x80xa6 httpstco4RYhEOLSsN
1717,bmelissa1812 Hey Melissa thanks for your patience while wexe2x80x99ve been so busy Im so sorry for your wait Have you mxe2x80xa6 httpstcoxGKNZb53vb
1718,bJohnHiggins_ Hey John thanks for your patience while wexe2x80x99ve been so busy were doing our best to operate as bestxe2x80xa6 httpstco6IYaN75iSu
1719,bDeanPearsonSHOW Hi Dean Really sorry for the hold up Weve updated our forgotten details steps online now If yoxe2x80xa6 httpstcooadLJwB4gr
1720,bSaluteMyGayness Hi Lola well have a payment holiday request form live on our website in the next couple of daysxe2x80xa6 httpstcocFhJvY7w6h
1721,bgarysmi Hi Gary if this is a Business account youd need to contact BcardBusiness for some help with that If itxe2x80xa6 httpstcoUppr33wkHe
1722,bf_sammyf757 Hi Sam Sorry for the delay If you want to drop us a DM with your query well take a look and see ifxe2x80xa6 httpstcoaGXY6Pi59D
1723,bDyhappy CapitalOne TheFCA guardian Hi Paul sorry for the delay in replying you can find out more about repaymxe2x80xa6 httpstcoWs1bTXLGb9
1724,bHyndaBohdan Hi BohdannnIm sorry for the delay in my reply Im sorry you feel that way can you tell me whats hxe2x80xa6 httpstcozbWIjdX0CU
1725,bRobGBelt Hi Rob Sorry for the hold up on getting back to you You can find out how to raise a dispute for this hexe2x80xa6 httpstcoTcJv5wHxbO
1726,bMissyGJ74 Hi Emma Im really sorry for the delay in getting back to you Our auto system should have been workingxe2x80xa6 httpstcoGyzref9duJ
1727,bsticklebrick73 Hey Randy if you can DM me with your postcode and phone number then well give you a call either txe2x80xa6 httpstcol8awP6rUi7
1728,balisonthursby It should be ready in the next couple of days Alison so keep an eye out here  httpstco2C3PNxZqPy Thanks Cass
1729,bChrisKrypton95 I should be able to check this for you Chris  Would you be able top DM me your postcode and phonexe2x80xa6 httpstcotbCggWICg6
1730,bJamieRGrech We can get that credit balance transferred back to your bank account for you but we would need to speaxe2x80xa6 httpstcoPD2WUCb75r
1731,bcarlyroberts31 Hi Carly Im sorry for the delay its busy all day currently as we continue to see high demand duxe2x80xa6 httpstco8QCPOBTDmB
1732,bstem_maths Hi So sorry for the delay in getting back to you Did you manage to get this sorted A specialist teamxe2x80xa6 httpstco6Va2kZxN4P
1733,bpaulkin05922704 Hi Paul So sorry for the delay in getting back to you Weve updated our forgotten details stepsxe2x80xa6 httpstco8PMtsgVzqf
1734,beric_san89 Hi Eric Sorry for the delay in getting back to you If you want to pop over to DM using the button belxe2x80xa6 httpstcof7Xa7axyeq
1735,bHaribocheeks Sorry for the hold up Cara Weve updated our forgotten details steps online now If you can clear  yxe2x80xa6 httpstcoG4LFuoLrIw
1736,bDACcessibility Hi Im so sorry for the delay in getting back to you Did you manage to get this sorted If notxe2x80xa6 httpstcoRZFM8MUdx9
1737,balisonthursby Sorry for the delay Alison Youve probably spotted this now but just in case we have more news onxe2x80xa6 httpstcoqTo3DQfNtQ
1738,bheidibex82 Sorry for the hold up Becky You may have spotted this already but were working on the option for payxe2x80xa6 httpstcoi5t0PcCxUV
1739,bjustsimonuk Hi Simon Really sorry for the delay in getting back to you Did you manage to get this sorted If notxe2x80xa6 httpstcopFYeYqiVek
1740,bTubbsWoolner If youre having any problems generally with managing your money youxe2x80x99ll find helpful advice at our mxe2x80xa6 httpstcoob9qkopGzB
1741,bTubbsWoolner If you think you could be financially impacted by Covid19 call us on 0800 046 8324 to find out howxe2x80xa6 httpstcojwpEFS9GQv
1742,bTubbsWoolner Hi there were trying to help customers as much as we can during this time  The good news is thatxe2x80xa6 httpstcoo67EZlMyoO
1743,bdavenportsevent Hi there as you can imagine this situation is constantly evolving Were trying to help customersxe2x80xa6 httpstco2X2uar7jsU
1744,bwhatKBdid Hi Katie I know this must be very frustrating Were extremely busy at the moment and need to take stafxe2x80xa6 httpstcoGb8gg5S3g6
1745,bMsBPH Hey Brooke with the global restrictions in place some of our teams arent available while others are functixe2x80xa6 httpstcoVJL9SF1ZeL
1746,bMarlonDWSmith Hey Marlon can you clear your cache and cookies and try log in again for me please Let me know how it goes  Rach
1747,ballenpete1 Hi Peter you dont need to worry and well help you We can look to raise a chargeback for you herexe2x80xa6 httpstco3BrbKcmPz2
1748,bmattyydale Great Im glad to hear it Matty Give us a shout if you need help with anything else at all  Rach
1749,bFrances82967238 Im afraid they dont  youd need to give them a call and hang in there until the answer I promixe2x80xa6 httpstcoGKvwHQkoZh
1750,bemmareynolds91 Hey Emma sorry about the long wait time as you can imagine were a little busier than usual Howxe2x80xa6 httpstcogkHBGxWYBt
1751,bStNaan Hi with the global restrictions in place some of our teams arent available while others are functioning uxe2x80xa6 httpstcoQZ2MfMLpkr
1752,bCharlotteey Hey Charlotte I know this situation is very stressful for many people wed like to try help in any wxe2x80xa6 httpstco706FqtuZv1
1753,bMrsLouiseT Hi there Im really sorry for the delay in responding to your message I hope you were able to get inxe2x80xa6 httpstcoP5SXGcCg1B
1754,bkaitlinlack Hey Kaitlin with the global restrictions in place some of our teams arent available while others arexe2x80xa6 httpstcoQH2MOJY3Wk
1755,bOhMyGoddard Im glad its sorted for you due to the fact this needs to be moved manually it might not be able toxe2x80xa6 httpstcoZftK2fC0zS
1756,bnataliephysiouk Can you please let me know which department you were trying to ring and I can check for some alternatives Ramona
1757,bnataliephysiouk Hello Natalie I can certainly understand your frustration with this and due to our staff being ixe2x80xa6 httpstco78pc6odfii
1758,bDanny_Gartside Wed only take the full balance of what was owing at the time the DD request goes through Danny Orxe2x80xa6 httpstcoeuvQkHTcqH
1759,bMschristinarose Our teams are working as hard as ever to answer calls Christina Ill reply to your DM now Thanks Nikki
1760,bjt0576 Ill reply now JT Thanks Nikki
1761,bnathan02222964 Hi Nathan so sorry for the delay Ive just replied to your DM Thanks Nikki
1762,bDamnRightUK Can you DM me your query and Ill try helping you out there Were not able to view your account or caxe2x80xa6 httpstco3UK1q4JgD6
1763,bmonie4112 Hi Simone can you try that page again as it has been fixed Just clear cookies and cache first Thanks Nikki
1764,bunder_toned Ok Wendy Can you DM me Thanks Nikki
1765,bFlahute66 Hi David can you try to unlock online again as the error has been fixed just clear cache and cookies axe2x80xa6 httpstco4BOJYQbG8P
1766,bhvennnn 22 so if youre able to leave it until we quieten down a little then that would save you time holding on the phone Thanks Nikki
1767,bhvennnn Hi Hannah we would need to speak to you to get that sent back to your bank Due to the current situationxe2x80xa6 httpstcowrgPid5eXR
1768,bshaunhall86 Hi Shaun find out more about repayment holidays on this link httpstco2C3PNxZqPy The above postxe2x80xa6 httpstcoAhZ7oQY3z9
1769,bpaulystew1 Hi Paul sorry that youre experiencing that Have you double checked with the bank that those paymentsxe2x80xa6 httpstco9HTxgtZPNa
1770,bWILDIRISH_ROVER Hey Paddy Ive replied to your other tweet now Apologies it took so long Thanks Nikki
1771,bWILDIRISH_ROVER Hi Paddy If you check the info on this link it should help clarify httpstcoO2v1FoFjWV Thanks Nikki
1772,bWILDIRISH_ROVER Hi Paddy I hope you got sorted but you can download a form from this link to fill in and return txe2x80xa6 httpstcopzDu6c9LKL
1773,bxe2x9axa0Scam alert fraudsters are promoting fake coronavirus tracking apps which could lock your phonenxe2x9dx8c Never downloadxe2x80xa6 httpstcoxSmsx76GV4
1774,bMillieSavs Hi Amelia Ive just replied to your DM Thanks Nikki
1775,b_JD222_ 22 were experiencing higher call queues than usual at the moment so if youre able to leave it until wexe2x80xa6 httpstcoirI2TXnPxm
1776,b_JD222_ Hi there we can get that credit balance transferred back to your bank account for you but we would need txe2x80xa6 httpstcoUuEmLFaa6G
1777,bangus_jordan Hi Angus can you try to log in online again If you can clear cache and cookies first and if you doxe2x80xa6 httpstco7Rd3ESbUjF
1778,biam_azh Hi Ash so sorry were a little busy right now due to the current situation weve got less colleagues andxe2x80xa6 httpstcoG3XIH9Ws6f
