,text_common
1598,bLukeo712 Ah really glad sorted Luke Stay safe Nic
1599,bEagleHodgsonM Michael Sorry hold youve managed sort feel free drop andxe2x80xa6 httpstcoXZWbSPVeEj
1600,bRosieGweilo 22 query Ill see find alternative way get help Nikki
1601,bRosieGweilo Rosey due current situation lines extremely busy Were available 8am 8pm arxe2x80xa6 httpstcotevO0VgNBs
1602,btanyaKGx Hey Tanya see Ill reply Dan
1603,bSmallfb1 Sorry getting back thanks understanding received yet Ixe2x80xa6 httpstcoPbLImp653N
1604,bLukeo712 Hey Luke getting back thanks patience Are still nxe2x80xa6 httpstcoJXJqwd8dRa
1605,bBrendanBall_ Keep eye Brendan disappear 25 months come back wellxe2x80xa6 httpstcoPVsAeOG3m8
1606,bMarianna_Szucs Marianna youre feeling way We updated pages infxe2x80xa6 httpstco4O6h8sj2lG
1607,balan_lawrance Alan really working hard deal amount quexe2x80xa6 httpstcozAujonRHDN
1608,bAdactMedical Okay case would contact friends BcardBusiness theyll happy assixe2x80xa6 httpstcopREZqj6NBY
1609,bali07 Ali apologies late reply coming back The link reset details bexe2x80xa6 httpstco0LFAUDqrdm
1610,bAdactMedical Good Morning apologies length time taken come back Is persxe2x80xa6 httpstcoCgozwJj6nN
1611,btaylor_shieldss Taylor think might picked Facebook message drop mexe2x80xa6 httpstcoICBXH0rmNz
1612,bJamieLeighxoxo_ Hey Jay sounds like youll reach Barclaycard US AskBarclaysUS Monday Fridayxe2x80xa6 httpstcoAVUsOHgxXO
1613,bMSalhotraNahar Martha team open theyre extremely busy reduced staff levels due thxe2x80xa6 httpstcoeJAEA7Ufza
1614,bohsteelers think youre looking reach friends AskBarclaysUS Monday Friday 9am5xe2x80xa6 httpstcoWkvTGwV6ru
1615,bMandathekini Hey Manda global restrictions place teams arent available others arexe2x80xa6 httpstcoKXpiUAXaZv
1616,bMindfulPraxis Elijah global restrictions place teams arent available others arexe2x80xa6 httpstco5p33O0rC7z
1617,b1nocalchk Tanya global restrictions place teams arent available others funcxe2x80xa6 httpstco8rVJqAHMcS
1618,bBenDaSilva1992 Ah clear cache cookies try Let know goes Rach
1619,bRichJBrooks Hey Rich Murphys law youd get answered glad stuck could hexe2x80xa6 httpstco0zKxORxL50
1620,b_drewforsyth Drew global restrictions place teams arent available others fuxe2x80xa6 httpstcog27trt8jsu
1621,bsource45_az global restrictions place teams arent available others fuxe2x80xa6 httpstcoCQTw2teYKp
1622,brobbobrad1997 Bradley global restrictions place teams arent available others arxe2x80xa6 httpstco75Luwqauzf
1623,bwilsy96 Stephen hear wifes job think could financially impacted Covxe2x80xa6 httpstcoa4Z2BJYnt6
1624,bIndexEagle think could financially impacted Covid19 call 0800 046 8324 findxe2x80xa6 httpstcoNjmfayBJLI
1625,balisonthursby Youre welcome Alison Remember 247 ever future xf0x9fx91x8dxf0x9fx8fxbb Corrina
1626,bHfprLtd could reason call Ill happy help Corrina 22 httpstcomPqb4etrYV
1627,bHfprLtd Hey afraid consistently thousands people queuing one time isxe2x80xa6 httpstcoj8IxwxwEUR
1628,bKatieUsher87 Just case youve missed wanted give heads weve replied Corrina
1629,bkevwynd Hey Kev line keeps cutting You mentioned online account locxe2x80xa6 httpstcoHCiFQVVXYD
1630,bkcajrum Ah perfect thanks letting know Jack Were 247 anything future xe2x80xa6 httpstcoI2YHPpo10N
1631,bMartinAshton91 Hey Martin Ive noticed tweet hope youve able speak sincexe2x80xa6 httpstconNlbsrF5XL
1632,bKirstsmed14 Youre welcome Kirsty Cass
1633,bmalcolm1uk Thats lovely hear Malcolm thanks much letting know Cass
1634,bRussB4 Ah thats odd Russell sure honest postcode phone number wexe2x80xa6 httpstco01yyybFqzI
1635,bIrishBarnes really James youre trying speak team Ill see somethinxe2x80xa6 httpstcoFvmeAE08P3
1636,bKlive_seabass Sorry Clive see Dan replied yesterday anything else jusxe2x80xa6 httpstcoQp53TFbKFD
1637,bRoCo67 Weve issues Roco youre sorted drop postcode phone numbexe2x80xa6 httpstcoHq8cbc72K7
1638,bAsianCowboy13 AskBarclaysUS Eric case Ill leave capable hands US team Whilstxe2x80xa6 httpstcoiANg0tCJRP
1639,bluciebexon Lucie 24hrs would usual response timeframe moment super busy across chxe2x80xa6 httpstcojmu3qxQf1g
1640,b466gw want pop button well see get bottom youxe2x80xa6 httpstcoOClPqkhduV
1641,bburdett_trevor Trevor wanting online access unlocking send quick pxe2x80xa6 httpstcon9PBOqljLY
1642,bneilwilliams87 Neil It show credit We look refunding bank account yoxe2x80xa6 httpstcojN2SVeczxA
1643,bthomasrfrost Hey Tom whilst hope eventually get customer services discuss ifxe2x80xa6 httpstcoLWC26bU0ZU
1644,bCoxioRio2016 Ah Paul Do mean credit balance want refunding sexe2x80xa6 httpstco9AjpDUqPBd
1645,bwayne_wright170 letting know Carl Enjoy rest Sunday Cass
1646,bmichaelgibson72 22 For able make payment offering help take lookxe2x80xa6 httpstcoqYyKK8Kbdn
1647,bmichaelgibson72 Mike required FCA send certain regulatory communications relation Persixe2x80xa6 httpstcoDRaEOqv5uF
1648,balec46819 Totally understand Alec Well reach customers whove missed payment advise theixe2x80xa6 httpstco0690kYf8tD
1649,bneilwilliams87 Neil dont worry refund card get touch send back yourxe2x80xa6 httpstcoRIYPpxC5TY
1650,bclareh233 Due current situation experiencing higher call queues usual moment yourxe2x80xa6 httpstcoziao9k8pNF
1651,bclareh233 Clare We get credit balance transferred back bank account would needxe2x80xa6 httpstcot1pz55Quhl
1652,bbeefcakes_ Thats odd Gemma theyre definitely numbers Ive called got right teamxe2x80xa6 httpstcowlNNblEye9
1653,b_PHphotography feedback Stay safe Nikki
1654,balec46819 Alec check link info help httpstcoiWvLWd93AS hope helps Nikki
1655,bIsThisBetterYet feedback Stay safe Nikki
1656,blrdw1 Ill reply Sorry Nikki
1657,bPhlipGodfrey Ah thats bit odd Philip coming back im hoping youxe2x80xa6 httpstcoP9NkLsi6V2
1658,bdavekoor It late cancel Direct Debit tomorrow Dave process starts 4 days prior Wxe2x80xa6 httpstcodNdpi8bMxA
1659,bxo_hedya AskBarclaysUS letting know xf0x9fx91x8d Well leave teams capable hands theyre experxe2x80xa6 httpstcoj7OZpudYEE
1660,bsophie_runs apologise Soph appreciate frustration lose customer Cass
1661,bNeilnio Neil Were really busy across channels moment dont timeline share youxe2x80xa6 httpstco7zD49vU4ce
1662,bnettybettysteve Ah really Annette know ideal right thanks much understaxe2x80xa6 httpstcoAV66oDbvp0
1663,bDavidCampbellw2 Hey David hope able speak Would mind telling werxe2x80xa6 httpstco55gKAS381G
1664,bMichaeljdobbin Hey Michael Ive noticed tweet could tell ringing discuss Corrina
1665,bwayne_wright170 Wayne Do access online account take look one statementsxe2x80xa6 httpstco5L6A9aO4W0
1666,bAsianCowboy13 AskBarclaysUS Eric Can check Is linked UK US account pleaseThanks Brendan
1667,bxKiranVx cant see whether got letter Kiran Id definitely expect withxe2x80xa6 httpstcoAypPPiUFAX
1668,bSimonjhbenson It shouldnt much longer Simon thanks patience Cass
1669,bSpennooooo Callum postcode phone number one onf team give cxe2x80xa6 httpstcofTFGZaIo05
1670,bponderer71 Sorry hold Ill pick Brendan
1671,bCraigoWill No problem Craigo Just postcode phone number well give call help Cass
1672,bxo_hedya Hey So cant see messages linked US account chaxe2x80xa6 httpstcoUCn0C14Zgd
1673,bTrentonSpear Great hear Trenton thanks much letting know Cass
1674,bJLeadbeatter Jamie thats phrase set verification know definitely Cass
1675,bblackrat999 ubtay much patience understanding Richard glad hear youre sorted Cass
1676,bjcharles121 Hey Jason see alternative ways change address please see httpstcoXGWagOmD0Y Corrina
1677,bHannah_Morris Hannah Ive replied Nikki
1678,balisonthursby We dont details yet Alison dnt think current offer would change allxe2x80xa6 httpstcodENEs0u4YD
1679,bBatSplats Sorry hold Rob Did get sorted You able online httpstcoYdTzebOjde Brendan
1680,bMalikaOnline_ 22 Where asks Are Barclays Barclaycard customer You select approprixe2x80xa6 httpstcoWP774SS9lk
1681,bMalikaOnline_ youxe2x80x99d like request stop processing data completely Malika byxe2x80xa6 httpstcoh16VKHL4rc
1682,bthewullsta really Peter dealing calls unusual moment posxe2x80xa6 httpstcoKmdPFLDMtQ
1683,bpulverisedrock Ash Sorry Did manage get get sorted Brendan
1684,bStig_Bubblecard sykescottages understanding Andy much appreciated difficult times Cass
1685,bIf find youxe2x80x99re problems logging Barclaycard Online Servicing herexe2x80x99s troubleshooting tips whxe2x80xa6 httpstcokAU3XT5EWU
1686,bSusanne_Sos Susanne Sorry getting back Are still difficulties feel free popxe2x80xa6 httpstcoe7pEhrSEtc
1687,bXRPJOKER Sorry late reply You may spotted already working option pxe2x80xa6 httpstco2WilCKwxn3
1688,bSimonjhbenson Sorry Simon You may spotted already working option paxe2x80xa6 httpstcovPCnOxulRb
1689,bjohnfranieuan Jonathon Sorry getting back see youve dropped well pxe2x80xa6 httpstcoP6L4Q9v7Nv
1690,brjsysko Sorry hold getting back Is linked UK US card UK feel free toxe2x80xa6 httpstcotxlDju2tPU
1691,bChebbie1 Deb Sorry hold get back still help feel free pop across Dxe2x80xa6 httpstcouI5y7aWvT1
1692,bSowerbyDale Stuart We cant cancel pending transaction drop 7 days date wxe2x80xa6 httpstcoxheQdS7K7o
1693,bf1shc8k Really hold Weve updated forgotten details steps online clear yxe2x80xa6 httpstcoZ5q049DB0U
1694,bIndexEagle Sorry hold You may spotted already working option payment hxe2x80xa6 httpstcomlhIrMubDC
1695,bGemsActiDerm Gemma Weve updated forgotten details steps online clear cache cookixe2x80xa6 httpstco4kHV143yNN
1696,bJamieRGrech understanding Staysafe Cass
1697,bTweetypie01 Claire couldnt get help needed Have able speak thexe2x80xa6 httpstconh4qAY8RJR
1698,bEmmaReardon Emma Really hold You see raise claim download dispute formsxe2x80xa6 httpstcoDGmpEaTrOR
1699,bDesignerAfloat Sorry replying Col You may spotted working option forxe2x80xa6 httpstcoSz3iCmjsAR
1700,bnayfurn Nathan You may spotted already working option payment holidays youxe2x80xa6 httpstcowUltFw2RST
1701,blordfortoroy mbna VirginMoney Sorry hold Christian You may spotted already workxe2x80xa6 httpstco06STUYfcCu
1702,bSoneyKuri Soney team touch soon help Nikki
1703,bTomStannard10 Tom nnIf youre trouble resetting details please try clearing cache cookiexe2x80xa6 httpstcoTA1w0onyN0
1704,brippleator Sorry hold Were currently working payment holidays online form livxe2x80xa6 httpstcoZBuqhi6BHb
1705,bfunrunrobbie Hey Stewart thanks patience wexe2x80x99ve busy best operate bexe2x80xa6 httpstcofPQjex3Pp0
1706,bNatalieAL So Natalie Were working Nikki
1707,bdrgarethroberts Gareth cut Do want details calling Thanksxe2x80xa6 httpstcojJ9KY6yFaM
1708,bGem43184781 really Gem things currently taking little bit longer usual wexe2x80xa6 httpstcoMAIlD7ZLI6
1709,babbielou1231 Abbie getting back Were experiencing high demand right Ixe2x80xa6 httpstcombkhOyAMrh
1710,btiffaliffers Tiffany Wexe2x80x99re working online application form request payment holxe2x80xa6 httpstcokAxlgPvVBJ
1711,bssbib85 generally youd see refunds pending It may never made card thxe2x80xa6 httpstcoF9j8cRHqQh
1712,bCarsCheshire relation business account BcardBusiness able help thxe2x80xa6 httpstcoyOam4fQ6fG
1713,bStig_Bubblecard In first instance wed direct company discuss theyre unable txe2x80xa6 httpstcoDE5YWLndjE
1714,bTheCombatGolfer apologies Ill reply Nikki
1715,bVoiceNote4 Jamez raise dispute missing refund select transaction youre querying ixe2x80xa6 httpstcovPKtK6AVbD
1716,bMegWilliams95 Megan getting back Were experiencing high demand across allxe2x80xa6 httpstco4RYhEOLSsN
1717,bmelissa1812 Hey Melissa thanks patience wexe2x80x99ve busy wait Have mxe2x80xa6 httpstcoxGKNZb53vb
1718,bJohnHiggins_ Hey John thanks patience wexe2x80x99ve busy best operate bestxe2x80xa6 httpstco6IYaN75iSu
1719,bDeanPearsonSHOW Dean Really hold Weve updated forgotten details steps online yoxe2x80xa6 httpstcooadLJwB4gr
1720,bSaluteMyGayness Lola well payment holiday request form live website next couple daysxe2x80xa6 httpstcocFhJvY7w6h
1721,bgarysmi Gary Business account youd contact BcardBusiness help itxe2x80xa6 httpstcoUppr33wkHe
1722,bf_sammyf757 Sam Sorry want drop query well take look see ifxe2x80xa6 httpstcoaGXY6Pi59D
1723,bDyhappy CapitalOne TheFCA guardian Paul replying find repaymxe2x80xa6 httpstcoWs1bTXLGb9
1724,bHyndaBohdan BohdannnIm reply feel way tell whats hxe2x80xa6 httpstcozbWIjdX0CU
1725,bRobGBelt Rob Sorry hold getting back You find raise dispute hexe2x80xa6 httpstcoTcJv5wHxbO
1726,bMissyGJ74 Emma really getting back Our auto system workingxe2x80xa6 httpstcoGyzref9duJ
1727,bsticklebrick73 Hey Randy postcode phone number well give call either txe2x80xa6 httpstcol8awP6rUi7
1728,balisonthursby It ready next couple days Alison keep eye httpstco2C3PNxZqPy Cass
1729,bChrisKrypton95 able check Chris Would able top postcode phonexe2x80xa6 httpstcotbCggWICg6
1730,bJamieRGrech We get credit balance transferred back bank account would speaxe2x80xa6 httpstcoPD2WUCb75r
1731,bcarlyroberts31 Carly busy day currently continue see high demand duxe2x80xa6 httpstco8QCPOBTDmB
1732,bstem_maths So getting back Did manage get sorted A specialist teamxe2x80xa6 httpstco6Va2kZxN4P
1733,bpaulkin05922704 Paul So getting back Weve updated forgotten details stepsxe2x80xa6 httpstco8PMtsgVzqf
1734,beric_san89 Eric Sorry getting back want pop using button belxe2x80xa6 httpstcof7Xa7axyeq
1735,bHaribocheeks Sorry hold Cara Weve updated forgotten details steps online clear yxe2x80xa6 httpstcoG4LFuoLrIw
1736,bDACcessibility getting back Did manage get sorted notxe2x80xa6 httpstcoRZFM8MUdx9
1737,balisonthursby Sorry Alison Youve probably spotted case news onxe2x80xa6 httpstcoqTo3DQfNtQ
1738,bheidibex82 Sorry hold Becky You may spotted already working option payxe2x80xa6 httpstcoi5t0PcCxUV
1739,bjustsimonuk Simon Really getting back Did manage get sorted notxe2x80xa6 httpstcopFYeYqiVek
1740,bTubbsWoolner youre problems generally managing money youxe2x80x99ll find helpful advice mxe2x80xa6 httpstcoob9qkopGzB
1741,bTubbsWoolner think could financially impacted Covid19 call 0800 046 8324 find howxe2x80xa6 httpstcojwpEFS9GQv
1742,bTubbsWoolner trying help customers much time The good news thatxe2x80xa6 httpstcoo67EZlMyoO
1743,bdavenportsevent imagine situation constantly evolving Were trying help customersxe2x80xa6 httpstco2X2uar7jsU
1744,bwhatKBdid Katie know must frustrating Were extremely busy moment take stafxe2x80xa6 httpstcoGb8gg5S3g6
1745,bMsBPH Hey Brooke global restrictions place teams arent available others functixe2x80xa6 httpstcoVJL9SF1ZeL
1746,bMarlonDWSmith Hey Marlon clear cache cookies try log please Let know goes Rach
1747,ballenpete1 Peter dont worry well help We look raise chargeback herexe2x80xa6 httpstco3BrbKcmPz2
1748,bmattyydale Great glad hear Matty Give shout help anything else Rach
1749,bFrances82967238 afraid dont youd give call hang answer promixe2x80xa6 httpstcoGKvwHQkoZh
1750,bemmareynolds91 Hey Emma long wait time imagine little busier usual Howxe2x80xa6 httpstcogkHBGxWYBt
1751,bStNaan global restrictions place teams arent available others functioning uxe2x80xa6 httpstcoQZ2MfMLpkr
1752,bCharlotteey Hey Charlotte know situation stressful many people wed like try help wxe2x80xa6 httpstco706FqtuZv1
1753,bMrsLouiseT really responding message hope able get inxe2x80xa6 httpstcoP5SXGcCg1B
1754,bkaitlinlack Hey Kaitlin global restrictions place teams arent available others arexe2x80xa6 httpstcoQH2MOJY3Wk
1755,bOhMyGoddard glad sorted due fact needs moved manually might able toxe2x80xa6 httpstcoZftK2fC0zS
1756,bnataliephysiouk Can please let know department trying ring check alternatives Ramona
1757,bnataliephysiouk Hello Natalie certainly understand frustration due staff ixe2x80xa6 httpstco78pc6odfii
1758,bDanny_Gartside Wed take full balance owing time DD request goes Danny Orxe2x80xa6 httpstcoeuvQkHTcqH
1759,bMschristinarose Our teams working hard ever answer calls Christina Ill reply Nikki
1760,bjt0576 Ill reply JT Nikki
1761,bnathan02222964 Nathan Ive replied Nikki
1762,bDamnRightUK Can query Ill try helping Were able view account caxe2x80xa6 httpstco3UK1q4JgD6
1763,bmonie4112 Simone try page fixed Just clear cookies cache first Nikki
1764,bunder_toned Ok Wendy Can Nikki
1765,bFlahute66 David try unlock online error fixed clear cache cookies axe2x80xa6 httpstco4BOJYQbG8P
1766,bhvennnn 22 youre able leave quieten little would save time holding phone Nikki
1767,bhvennnn Hannah would speak get sent back bank Due current situationxe2x80xa6 httpstcowrgPid5eXR
1768,bshaunhall86 Shaun find repayment holidays link httpstco2C3PNxZqPy The postxe2x80xa6 httpstcoAhZ7oQY3z9
1769,bpaulystew1 Paul youre experiencing Have double checked bank paymentsxe2x80xa6 httpstco9HTxgtZPNa
1770,bWILDIRISH_ROVER Hey Paddy Ive replied tweet Apologies took long Nikki
1771,bWILDIRISH_ROVER Paddy check info link help clarify httpstcoO2v1FoFjWV Nikki
1772,bWILDIRISH_ROVER Paddy hope got sorted download form link fill return txe2x80xa6 httpstcopzDu6c9LKL
1773,bxe2x9axa0Scam alert fraudsters promoting fake coronavirus tracking apps could lock phonenxe2x9dx8c Never downloadxe2x80xa6 httpstcoxSmsx76GV4
1774,bMillieSavs Amelia Ive replied Nikki
1775,b_JD222_ 22 experiencing higher call queues usual moment youre able leave wexe2x80xa6 httpstcoirI2TXnPxm
1776,b_JD222_ get credit balance transferred back bank account would txe2x80xa6 httpstcoUuEmLFaa6G
1777,bangus_jordan Angus try log online clear cache cookies first doxe2x80xa6 httpstco7Rd3ESbUjF
1778,biam_azh Ash little busy right due current situation weve got less colleagues andxe2x80xa6 httpstcoG3XIH9Ws6f
1779,bpimran786 PolhomeEditor Imran check link may help meantime httpstco2C3PNxZqPy Nikki
1780,bjack_day1992 Jack support available Nikki
1781,b_harahx teams extremely busy reduced number staff customers contactingxe2x80xa6 httpstcoZz03trnvjs
1782,bPhilPhilpp Phil UK team You would reach Barclaycard Germany updatesxe2x80xa6 httpstco8REtQO7t2f
1783,bStuInAus Stuart Weve enabled try help customer queries Ive gotxe2x80xa6 httpstcodkB4brCyEw
1784,bFredleted Brian Sorry replying check link regarding repayment holidaysxe2x80xa6 httpstcotQK8ZOKbRh
1785,bphillippparker Hey Philly apologies All teams extremely busy due current situatixe2x80xa6 httpstcozBkxegyNTo
1786,bskotyw Scott wait Are still problems please let know debit orxe2x80xa6 httpstcoK1OVh1EmDp
1787,bAdamjohntaylor5 Adam wait manage speak team ask youre ablxe2x80xa6 httpstcomsvS20cs5S
1788,baluminiumfrank Apologies Can let know wanted speak pxe2x80xa6 httpstcoZcOzEEF0Lr
1789,bAndiMadd Andy Yes come back within around 710 days Dan
1790,bKarenMason Can send little information see options Brogan httpstcomPqb4etrYV
1791,bWendySm01112453 Hey Wendy thanks patience wexe2x80x99ve busy best operate bxe2x80xa6 httpstcobVbb9LzV0b
1792,bnewham2012 Carlos find help customers link httpstcoiWvLWd93AS Nikki
1793,bjohn_herd GlaswegianTory Sorry youre happy response received colleague Nikkixe2x80xa6 httpstcoiHss6DEOZR
1794,bsoniasok116 Sorry hear Sonia help time find helpxe2x80xa6 httpstcoOvuMMix8tu
1795,bmackenziesmithr 22 Id first check bank arent declining theyre check link forxe2x80xa6 httpstcozoRttvydYS
1796,bmackenziesmithr dealing large amount calls customers colleagues havxe2x80xa6 httpstcozmfjGnGv1d
1797,bsticklebrick73 Randy really working hard deal amount quxe2x80xa6 httpstco8rHVTDD6rK
1798,bhaveasalad really working hard deal amount queries wexe2x80xa6 httpstcofkuTlN6hQq
1799,bduncphoto WarrenAaronWebs Duncan think Nikki must listened said appear wexe2x80xa6 httpstcoN5RN2qmbyi
1800,blorrain09287461 Lorraine offers tend run end month confused youve hadxe2x80xa6 httpstco1Fsk33BLff
1801,bGuestlandlord Richard may youre able query specific transaction You download foxe2x80xa6 httpstcoMWxJp7I9ux
1802,btanyaKGx Hey Tanya As totally stretched across channels capacity offer callbacks Imxe2x80xa6 httpstcosPkCeAiVvx
1803,bLondon_Rover youre sorted please Ill see advise Nikki httpstcomPqb4etrYV
1804,bmerkmoore95 Hey Mark thanks patience wexe2x80x99ve busy best operate best wxe2x80xa6 httpstcolEhEncQskP
1805,bgordonJack7 Ive replied Gordon Nikki
1806,bAmanGil55213229 22 line queue httpstcoO2v1FoFjWV Dan
1807,bAmanGil55213229 working hard help many customers possible withxe2x80xa6 httpstcouDPcBRilnO
1808,bSpennooooo Hey Callum reply Our telephone lines extremely busy moment due toxe2x80xa6 httpstcoCrRXt0BUM9
1809,bRomihanduja Rajesh hear Please ask daughter reach team arranged ixe2x80xa6 httpstcoIuzObVfAgy
1810,bFriely47 Alex would depend query relation different teams engaging help withxe2x80xa6 httpstco8s1m29g9kd
1811,btanyaKGx Tanya really working hard deal amount queriesxe2x80xa6 httpstcoMOqucDrPNO
1812,bashelle66 Depending would help might speak securely manage conxe2x80xa6 httpstcodhfrNHTva8
1813,bashelle66 Hello Ashleigh certainly understand frustration due staff impactxe2x80xa6 httpstcoREvzMgpuro
1814,babrahams_fiona Hey Fiona wexe2x80x99ve busy best operate bexe2x80xa6 httpstcoyiWBrlSzlV
1815,bSHaywardZA There find information regarding making chargeback via linkxe2x80xa6 httpstcoNq7wzNoFZW
1816,bchellemacgill certainly appreciate wait long frustrating manage get resolved Ramona
1817,bwdy_t 22 Ill get raised totally agree confusing Nikki
1818,bwdy_t Tom replying Customers must write 16 digit card number postcode thexe2x80xa6 httpstcowzTGY4gOdF
1819,bBuggyTunes Hey reply time youve spent calling Have managedxe2x80xa6 httpstcoZ34sBQLe22
1820,bGlaswegianTory really working hard deal amount queries thaxe2x80xa6 httpstcolhvLbNaa4W
1821,baaliyahdeanne Hello Lili credit card account credit speak securely wexe2x80xa6 httpstcoFDSxCR6NH1
1822,bJonnyRebelArt Hello Jonathan certainly appreciate wait long frustrating ablexe2x80xa6 httpstcoNq0BMdv6Ih
1823,bMichaelNemo89 Michael Have looked thel ink one reposnses You caxe2x80xa6 httpstcooAmk4gEXAM
1824,bAdam65702213 Hello Adam certainly give hand reason think someone mightxe2x80xa6 httpstco0Ld9Zv2tiE
1825,bandywilmer hayleyalysmua Hey Andy thanks patience wexe2x80x99ve busy best opexe2x80xa6 httpstcor8wJ6KQ0UT
1826,bswhittle Sally messages provide number call customer services Dan
1827,bPaulTransfer Paul replying Ill reply Nikki httpstcomPqb4etrYV
1828,bAdamDUBDay Adam Please try link see one works better httpstcoqpdUIR3ARM Ifxe2x80xa6 httpstcoXKsfabKsTc
1829,bBagey1975 Paul still help let know mean unlock Nikki httpstcomPqb4etrYV
1830,bJTMANmenswear Have spoken yo someone let know around doxe2x80xa6 httpstcoFWgwUs7FpD
1831,bJTMANmenswear teams extremely busy reduced number staff customers contactxe2x80xa6 httpstco4Anxw0Lldk
1832,bt77nge We appreciate patience Ange know days since tweeted received anythingxe2x80xa6 httpstconh0Qyx1GRX
1833,bMattCrooks97 Matthew Youd speak customer services theyll able whats called credixe2x80xa6 httpstcou2DjbJdUxB
1834,bjourdemayne Deborah fixed clear cache cookies try thatd great Nikki
1835,bUrban__Groove difficult times put first 100 Check page updaxe2x80xa6 httpstcowjcoO3zuxn
1836,bfidonn Fiona Ill reply Nikki
1837,bgarethmorrison Gareth sure whove emailed unless secure message wed ablxe2x80xa6 httpstcoRN7ALecNSw
1838,bsimonknott86 Hey Simon aplogies reply Were super busy right queues arexe2x80xa6 httpstcoqa1x2wy3iL
1839,bsciolisthjf Howard youre issues getting taking calls hoursxe2x80xa6 httpstcoSwCja9CLQI
1840,bSiege_Perilous certainly pass team feedback Patrina Hopefully youve managed speak Kevin
1841,bhehunts James really working hard deal amount queriesxe2x80xa6 httpstcoyM0fGnifcu
1842,bbiggc1970 youxe2x80x99re registered Barclaycard online servicing use linkxe2x80xa6 httpstcoVz4ftLSaB9
1843,bbiggc1970 Click View spending click transaction next click xe2x80x98Query transactionxe2x80x99 fxe2x80xa6 httpstcoje8T0i7xYN
1844,bbiggc1970 Graham You call Barclaycard dispute team 0800 161 5291 7am11pm toxe2x80xa6 httpstcoioQ1sWX9fS
1845,bbern_eleven LaurynPryde David Ive replied fixed try Nikki
1846,bsusie_worm Yes Susie servicing thousands calls successfully The queues long excesxe2x80xa6 httpstcoTrsib93UkR
1847,bKarenMason Hey Karen super busy right Have managed get yet notxe2x80xa6 httpstcoA4lG9GgQY2
1848,bbern_eleven AntRGreen David try today work Also clear cache cookxe2x80xa6 httpstco3yDFS2oiLs
1849,bRichie__Ryan Richie Sorry late reply coming back You speak goxe2x80xa6 httpstcoiSODPgHu47
1850,bCaterinaAmato8 The team receiving thousands calls Caterina Theyre working hard servicexe2x80xa6 httpstcouSp3ATGoSn
1851,bangelahayworth Angela see sent colleague Dan got back Christie
1852,brachael_crofts Hey Rachael thanks Tweet getting back manaxe2x80xa6 httpstcooc9HolFBC2
1853,bSophieD_85 Sophie wonxe2x80x99t charging late payment cash advance fees 19 March 17 June 2020xe2x80xa6 httpstco4hTMk5Qhnx
1854,bdobtastic You would send post Here web page informationxe2x80xa6 httpstcoB0ncFFa95C
1855,bLili2 youre problems generally managing money youxe2x80x99ll find helpful advice money woxe2x80xa6 httpstcoGyQb2nuwJ5
1856,bLili2 think could financially impacted Covid19 call 0800 046 8324 find canxe2x80xa6 httpstcoaSAPCBKIqf
1857,bLili2 Hello JaxnnWe wonxe2x80x99t charging late payment cash advance fees 19 March 17 June 2020 xe2x80x93 wxe2x80xa6 httpstcoCysrAt8Jjb
1858,bHarris_5Family Hello Harris please come Facebook Messenger want help find best next stexe2x80xa6 httpstcoWfb7UMPMFb
1859,bDialsquare10 Hello able arrange callbacks security reasons Please come txe2x80xa6 httpstco5kKbmcYQeG
1860,bsmithywannabe Hello NiknnPlease come character count higher informationnnRoss httpstcomPqb4etrYV
1861,bsamdmorgan Sam wexe2x80x99ve fixed issue today Please clear cache cookies log yxe2x80xa6 httpstcoUAPOQdoPZx
1862,bluckymercenary troubles Online Banking pop chat Brogan
1863,bA_Cameron19 Annabel please send called get help herexe2x80xa6 httpstcouSsJ0z0ksF
1864,bShauniMcTaggart Shauni noticed Tweet would like help Please send littlexe2x80xa6 httpstcoU9JcEFrHmD
1865,bjetsetninja Hey Jetset message huge apologies long wait busy due imxe2x80xa6 httpstcoDigLNjMAeW
1866,bESmith206 Hey Eric thanks message huge apologies long wait busy due impactxe2x80xa6 httpstcoBSakvdZCwW
1867,bSonia63962271 youre problems generally managing money youxe2x80x99ll find helpful advice ourxe2x80xa6 httpstcoHBtja1qvEq
1868,bSonia63962271 think could financially impacted Covid19 call 0800 046 8324 find howxe2x80xa6 httpstcolOSIPwGMyk
1869,bSonia63962271 Hello SoniannWe wonxe2x80x99t charging late payment cash advance fees 19 March 17 Junxe2x80xa6 httpstcoyOHRZgOSO5
1870,bkep212 Also due Covid 19 global lock downs digital teams available phonxe2x80xa6 httpstcokpjVV65Yye
1871,bkep212 Hello Kate experiencing high call volumes also consider health stafxe2x80xa6 httpstcoyMC7qiE3AX
1872,bChristianRad Christian Ixe2x80x99m hold long trying get mxe2x80xa6 httpstcoNiQ0rM1eSV
1873,bflutterbyplant Flutts send little information device exxe2x80xa6 httpstcoS0g58REFBz
1874,bcphelan Chris really responding Were certainly ignoring reaxe2x80xa6 httpstcoktwk7QWlpe
1875,bnat1811 Natalie really responding Weve really busy recently youxe2x80xa6 httpstcodEh5xbSsMe
1876,bMatt93671000 Hello Matt want help lines open however due high call volumes waxe2x80xa6 httpstcoPO99H6LbRb
1877,bhayleyalysmua Hello Hayley certainly understand frustration wait times know idxe2x80xa6 httpstcoJLtOjGDo40
